"Ref","Sous-theme","Question","A","B","C","D","Explication"
"T3-004","Posture at table","In France, when it is not in use, the left hand should:","remain resting in the lap, as English usage requires","keep hold of the fork for the whole of the course","lie flat on the table, with the elbow resting there too","remain in view, resting on the table (wrist or forearm)","In France both hands remain in view; keeping a hand in the lap is the English rule."
"T3-005","Posture at table","At table, the elbows:","are placed on the table just as the wrists and the forearms are","may rest on the table once dessert is served and the plate removed","are never placed on the table, unlike the wrists and forearms","may rest on the table while one is eating, provided one sits upright","Elbows are not put on the table while eating; only the wrists and forearms may rest there."
"T3-006","Cutlery / salad","How is green salad eaten at a formal French dinner?","one helps oneself with a piece of bread in the other hand","one cuts it with the knife into small, even pieces","one takes it with the fingers, as with whole asparagus","one folds the leaves with the fork, without a knife","Salad is never cut with a knife; the leaf is folded with the fork."
"T3-007","Cutlery / salad","Why has etiquette historically forbidden cutting salad with a knife?","because vinegar oxidised the old non-stainless steel blades and imparted a metallic taste","because the leaves must remain whole, lest they bleed and water down the vinaigrette in the bowl","because the host would have read it as a reproach for serving badly trimmed leaves","because the knife, reserved for meats and cheeses, was not to touch raw vegetables","The vinaigrette attacked the non-stainless steel of knives of former times, spoiling the taste and tarnishing the silver."
"T3-008","Cutlery / position","To signal to the service that you have finished your course, you place your cutlery:","astride the plate, handles resting on the cloth","crossed on the plate, the blade turned inwards","parallel, laid together on the plate","laid back on either side of the plate","Cutlery laid parallel on the plate says ""finished""; crossed cutlery says ""pausing""."
"T3-009","Cutlery / use","Which of these dishes is, in principle, eaten without a knife?","roast beef","camembert","rib steak","omelette","The knife serves for meat and cheese alone; not for omelette, pasta, salad or *foie gras*."
"T3-010","Cutlery / the fork","A French particularity: forks are laid on the table:","tines turned down towards the cloth, so as to show the arms engraved on the back","to the right of the plate, with the tines turned towards the diner","tines turned upwards, so that the arms engraved on the handle may be read from the front","tines turned down towards the cloth, but only for the fish course setting","In France the tines point down towards the cloth (the coat of arms being engraved on the back), the reverse of English usage."
"T3-011","Wine / declining a glass","To decline a further glass of wine politely, one should:","cover the glass with one's folded napkin, for as long as the service is passing before one","leave the glass as it stands, or briefly place a hand above it with a word of thanks","turn one's glass upside down on the cloth, so that one's abstention is plain","empty one's glass entirely, so that the service need not refill it","One never turns one's glass over; it is left in place, or covered with a discreet gesture of the hand."
"T3-012","Wine / holding the glass","A wine glass is held:","by the stem and the bowl","by the stem (*le pied*)","by the bowl, in the palm","by the top of the bowl","The glass is held by the stem so as neither to warm the wine nor to leave marks on the bowl."
"T3-013","Wine / tasting","At a dinner, who tastes the wine to make sure it is sound before the guests are served?","each of the guests, in their own glass","the guest of honour, as a mark of deference","the host (or whoever ordered the wine)","the eldest of the guests at the table","The host tastes and approves; the ladies are served first, and whoever tasted is served last."
"T3-014","Wine / serving","A wine glass is filled:","exactly half full, whatever the size of the glass","almost to the brim, so as to avoid having to refill too often","to two thirds at most, so that the aromas may unfold","to a quarter of the glass, so as to concentrate the aromas","A glass filled to two thirds at most allows the wine to breathe and its aromas to express themselves."
"T3-015","Cheese / the nose","Faced with a brie already cut into at the point, you take:","a slice along its length, so as to have both heart and rind","the point, the ""nose"" (*le nez*), the most melting part of all","the heart alone, taken with a spoon and leaving the rind","a portion taken from the edge, running along the rind","To cut the ""nose"" is to help oneself to the best; one cuts so that every guest has a share of both heart and rind."
"T3-016","Cheese / blue-veined","A blue-veined cheese (*pâte persillée* — roquefort, bleu) is cut:","by scraping the surface with the blade, so as to take only the ripened part","into even cubes cut with a wire, as is done for a standing buffet","in a fan, or in triangles from the point, so that the blue is shared out fairly","by first clearing away the central veining, which is markedly saltier than the rest","The veining being concentrated at the heart, cutting in a fan distributes the strongest flavours among the guests."
"T3-017","Cheese / second helpings","When the cheeseboard is passed, taking a second helping is:","held to be impolite, as it suggests that the main courses were insufficient","expected, since the board is meant to be passed round a second time before each guest","recommended, since it compliments the host upon his choice of cheeses","admitted for *pâte pressée* (pressed cheeses), served in smaller portions","The board goes round once only; cheese is a tasting, and one does not take a second helping."
"T3-018","Cheese / presentation","A cheeseboard is classically presented with a number of cheeses that is:","odd (3, 5, 7)","more than ten","even (2, 4, 6, 8)","one per guest","Tradition calls for an odd number of cheeses, tasted from the mildest to the strongest."
"T3-019","Bread / where it is placed","At table, bread is placed:","to the right of the plate, on the cloth, beside the butter knife","on the rim of the dinner plate, next to the butter that has just been served","directly on the tablecloth (or on the bread plate, above and to the left)","in the common basket at the centre, where each helps himself as needed","Bread rests on the cloth itself, or on the small bread plate to the left, never on the dinner plate — a French usage that often disconcerts English-speaking guests."
"T3-020","Bread / breaking it","At table, bread:","is eaten in small mouthfuls taken straight from the whole slice","is broken by hand into small pieces, as one goes along","is cut into even slices with one's own table knife","is buttered all at once, before starting on the course","Bread is broken by hand, piece by piece; cutting it with one's table knife is proscribed."
"T3-021","Guest's gift / flowers","To arrive at a dinner with a large bouquet of cut flowers to be arranged that very evening is:","ill-judged: it occupies the hostess at the worst possible moment; better to have the flowers delivered before or after","the safest of presents, since the hostess may set it out at once in a place where her guests will admire it","the proper course at a first invitation, when one does not yet know the tastes of the household one is entering","acceptable so long as the stems are short and the bouquet arrives already tied into a sheaf ready for the vase","A bouquet that must be put in water takes the hostess from her guests; refined usage has the flowers delivered beforehand or afterwards."
"T3-022","Guest's gift / flowers","Which of these flowers is to be avoided absolutely as a gift, on account of its funerary associations?","double ranunculus","delphiniums","parrot tulips","chrysanthemums","Chrysanthemums evoke mourning (*la Toussaint*, All Saints' Day); carnations and red roses are likewise inadvisable."
"T3-023","Guest's gift / wine","Bringing a bottle of wine to be opened that very evening at your hosts' table is a delicate matter because:","it suggests that the cellar of the house might not be well enough furnished","it upsets the pairings of food and wine the host has meticulously prepared","the price of the bottle can be guessed, which embarrasses the guests","wine passes for too conventional a present among people of the world","The host would feel obliged to open the bottle, disturbing the harmony planned between the dishes and the wines."
"T3-024","Thanks / lettre de château","The *lettre de château* (the letter of thanks sent after a reception or a stay) is sent:","that same evening, by an electronic message addressed to the hostess","in the days that follow (ideally within three weeks), and handwritten","before the reception, together with one's acceptance of the invitation","within the following year, with the New Year greetings sent to the house","A handwritten letter to the hostess, personal and sincere, sent between three days and three weeks afterwards."
"T3-025","Thanks / letters","According to the epistolary tradition of polite society, a letter never begins with:","the date of the day","the word ""Je"" (""I"")","the name of the place","""Chère Madame""","Usage proscribes opening a letter with ""Je"", held to be too much centred on oneself."
"T3-026","Toasts","Who proposes the first toast at a dinner?","the last guest to arrive","the host or hostess","the evening's guest of honour","the eldest at the table","The host proposes the first toast (a welcome, or a tribute to a guest); the guest of honour may reply."
"T3-027","Table conversation","The classic rule of table conversation recommends that one:","address the whole table aloud throughout the meal, so that no guest may feel left out of the conversation","converse with the same neighbour throughout the meal, so as not to break the thread of the talk","reserve the greater part of one's talk for the guest of honour, whom all are there to honour","converse first with the neighbour on one's right, then turn to the one on the left at the following course","This ""turning of the table"", usually set in motion by the hostess, keeps any guest from being left out."
"T3-028","Forbidden at table","At a formal dinner, which of these objects may be set on the table?","none of them: neither telephone, nor keys, nor cigarettes","the packet of cigarettes, if one has asked the table's permission","the telephone, laid face down on the cloth and silenced","the keys, if they are set discreetly above the plate","No personal object is set on the table (neither telephone, nor keys, nor cigarettes)."
"T3-029","The napkin","The table napkin is placed:","as a bib, tucked into the opening of the collar, for delicate dishes","over the back of the chair, then carefully refolded at the end of the meal","to the right of the plate, and unfolded only at the first course served","on the lap, and is laid to the left of the plate at the end of the meal","The napkin goes on the lap (never as a bib) and is laid down on the left, without being carefully refolded."
"T3-030","Taking leave","At a dinner attended by a person of very high standing, protocol requires that:","no one takes leave before that person does","one takes leave as soon as coffee has been served","the guest of honour is the first to take leave","the guests all withdraw together, at the same moment","One does not leave the table before the person of highest rank."
"T3-031","Seating / the table","The *présidence à la française* (the French manner of presiding at table) places the host and hostess:","in the middle of the table, facing each other","at the two ends of the table, facing each other","one on either side of the guest of honour","side by side, at one of the ends of the table","The recommended arrangement seats the host and hostess at the centre, facing each other; the *présidence à l'anglaise* seats them at the ends."
"T3-032","Wine / order of service","In what order are wines classically served over the course of a meal?","from the oldest vintage to the most recent, without any other consideration","from the lightest to the fullest, whites before reds, dry before *liquoreux* (sweet)","the *liquoreux* (sweet wines) first of all, then the dry whites, and finally the reds","from the fullest to the lightest, reds before whites, so as to end on freshness","One proceeds from light to full-bodied, white to red, young to old, dry to sweet — champagne brut being the exception."
"T3-033","Cheese / cutting a wheel","A pressed-curd cheese in the wheel (*pâte pressée* — comté, beaufort) is cut:","into cubes broken off with the point of the cheese knife","by first taking the central part, the most melting of all","in thin shavings taken off with a cheese plane","in parallel slices, from the heart towards the heel","Slicing from the heart keeps the last guests from being left with nothing but the rind of the heel."
"T3-034","Thanks / lettre de château","In the Anglo-Saxon world, the *lettre de château* corresponds to:","the professional ""thank you note""","the customary ""courtesy call""","the ""bread and butter letter""","the ""letter of introduction""","It is the equivalent of the ""bread and butter letter"", the word of thanks sent after hospitality received."
"T3-035","Official precedence","Precedence at an official Republican meal is fixed by:","the Constitution of the Fifth Republic","an order of the Minister of the Interior","decree no. 89-655 of 13 September 1989","a customary usage that has remained unwritten","This decree fixes the order of precedence; a person is ranked according to their highest office."
"T3-036","Cutlery","At a meal of several courses, the cutlery is used:","from the outside inwards, course by course","following the glasses, from left to right","beginning with the pieces laid above the plate","from the inside outwards, course by course","One begins with the pieces furthest from the plate, and never more than three are laid on either side."
"T3-037","Cutlery / position","To signal a mere pause during the meal, one places one's cutlery:","parallel on the plate","crossed on the plate","leant against the glass","laid on either side","Crossed cutlery says ""pausing""; parallel cutlery says ""finished""."
"T3-038","Cheese / cutting","A round, flat cheese (camembert, reblochon) is cut:","by first taking out the central part, which is the creamiest","with a spoon, hollowing it out from the centre towards the outer edge","in horizontal slices, with the rind shared out afterwards","into equal triangular portions, from the centre out to the rind","Cutting in wedges guarantees every guest an equal share of heart and rind."
"T3-039","Cheese / cutting","Before cutting a *bûche de chèvre* (goat's cheese log, such as Sainte-Maure), one must:","carefully wipe away the ash covering the surface","split it into two halves, along its length","gently draw out the straw running through its centre","take off the bloomy rind along the whole of its length","The length of cereal straw is drawn out so that the fragile paste is not crushed in the cutting."
"T3-040","Cheese / cutting","A square cheese (Maroilles, Pont-l'Évêque) is cut:","along crossed diagonals (four triangles), then into equal portions","by first taking the heart, the rind being shared out separately","in regular parallel slices, from one edge of the square to the other","into ever smaller concentric squares, working in from the edge","The crossed diagonal ensures a fair distribution of rind and heart."
"T3-041","Forbidden at table","Mopping one's plate (*saucer son assiette*) is tolerated only:","when the host expressly invites one to do so","with the dessert spoon, without making a noise","with a piece of bread held between two fingers","with a piece of bread speared on the fork","Mopping up with bread held in the fingers is proscribed; only bread on the end of the fork is admitted."
"T3-042","Wine / serving","When wine is served, who is served first?","the ladies","the host","the taster","the youngest","The ladies are served first; whoever tasted the wine is served last."
"T3-043","Seating / the table","Why is a round or oval table often preferred for a dinner?","because it avoids disputes of precedence (there being no ends to the table)","because it allows a greater number of guests to be seated for the same area of room","because it eases the service, which goes round without interruption","because it is prescribed as soon as one goes beyond twelve covers","Having no ends, the round table neutralises questions of rank; beyond fourteen to sixteen guests it is best avoided."
"T3-044","Thanks","For condolences or a *lettre de château* (letter of thanks after hospitality), a visiting card:","is preferable to a letter that runs long","has no place in present-day usage","suffices as soon as it is handwritten","never takes the place of a true letter","Certain circumstances (condolences, the *lettre de château*) call for a true letter, not a mere card."
"T3-045","Seating / precedence","At a private dinner, the female guest of honour is seated:","to the left of the hostess","to the right of the host","to the left of the host","directly opposite the host","Symmetrically with the male guest of honour, who is seated to the right of the hostess."
"T3-046","Cheese / tasting","In what order are the cheeses on a board tasted?","beginning with the blue cheeses","from the strongest to the mildest","as the board is presented","from the mildest to the strongest","One goes from the mildest to the strongest so as not to overwhelm the palate at the outset."
"T3-047","Wine / order of service","In the order of serving wines (dry before *liquoreux*, sweet), what is the classic exception?","*vin doux naturel*","*vin de liqueur*","champagne brut","dry white wine","Champagne brut stands as the exception in the progression from dry towards sweet."
"T4-001","Discreet luxury","Luxury in the French manner, being discreet, favours:","gleaming materials and vivid colours, chosen so as to catch the eye","an accumulation of rare pieces, whose number attests to one's success","clearly visible logos, vouching to the trained eye for assured quality","pieces of the highest quality, but understated and never ostentatious","""Luxury is not the opposite of poverty but of vulgarity"" (attributed to Coco Chanel)."
"T4-002","Dress code","What is the difference between White Tie and Black Tie?","no difference in the garments: only the colour of the bow tie changes, white or black","White Tie = dinner jacket with a white bow tie; Black Tie = tailcoat with a black bow tie","White Tie = a dark suit with a light tie; Black Tie = tailcoat with white gloves","White Tie = tailcoat with a white bow tie; Black Tie = dinner jacket with a black bow tie","White Tie, the most formal code of all, calls for the tailcoat — in French the *habit* or *queue-de-pie* — and a white bow tie; Black Tie calls for the dinner jacket, which the French call a *smoking*, and a black bow tie."
"T4-003","Dress code / dinner jacket","In Black Tie — that is, wearing a dinner jacket, which the French call a *smoking* — the one mistake never to make is:","wearing a black silk bow tie, hand-tied rather than ready-made","wearing black patent leather shoes rather than polished oxfords","wearing a long black tie in place of the bow tie (it suggests mourning)","wearing a cummerbund with its pleats turned to face upwards","A long black tie suggests mourning; Black Tie requires the black bow tie."
"T4-004","Dress code / tenue de ville","On an invitation, the wording ""*Tenue de Ville*"" calls for:","a light jacket without a tie, in the spirit of an outdoor summer cocktail","a dark suit, charcoal or navy, with a light shirt and a restrained tie","a dinner jacket worn with a black bow tie and a cummerbund","flannel trousers and a blazer with gilt buttons, worn without a tie","*Tenue de Ville* — the French equivalent of the lounge suit — means a dark business suit with a tie, for formal occasions held before nightfall."
"T4-005","Dress code / when in doubt","When in doubt about how formal an occasion will be, it is better to be:","slightly overdressed rather than underdressed","aligned with what the host himself will be wearing","in bold colours, which signal a personality of one's own","deliberately a notch below, so as to appear at ease","Being dressed a little better than required is always preferable to falling short."
"T4-006","Accessories / pocket square","Should the pocket square match the tie exactly, in the same fabric?","usage does not settle it: tailors hold the two courses equal","no: it should harmonise with the tie but never be of the same fabric","yes: the same cloth for both ensures a perfect harmony","yes for evening dress, but not for the suit worn to the office","Pocket square and tie cut from the same cloth are held to be in doubtful taste; the harmony should remain indirect."
"T4-007","Accessories / the Chanel rule","The rule on accessories attributed to Coco Chanel advises that, before going out, one should:","remove one of them in front of the mirror, to avoid excess","give up jewellery altogether, sobriety serving as adornment","add one last accessory in front of the mirror, to affirm one's style","match all one's jewellery in a single metal, for unity of adornment","The ""minus one"" rule: a single strong piece rather than an accumulation."
"T4-008","Posture","Crossing one's arms during a conversation is read in France as:","a closed posture, to be avoided","a mark of reflection, well regarded","a mark of respect towards an elder","an open and welcoming posture","One holds oneself straight and avoids crossing the arms, a sign of closedness or of defensiveness."
"T4-009","Eye contact","When clinking glasses in France, one should:","look at the glass one is touching","look the other person in the eye","lower one's eyes out of courtesy","look around the table as a whole","A direct gaze is a mark of sincerity; when toasting, one looks into the eyes of the person whose glass one meets."
"T4-010","La bise / handshake","When in doubt in a professional setting, above all an international one, the safest gesture is:","a warm embrace","a firm handshake","the two customary *bises*","a wave from a distance","The handshake, neither limp nor crushing, is never a misstep; *la bise* belongs to the register of friendship."
"T4-011","La bise / regional variation","The number of *bises*, or cheek kisses, exchanged in France:","stands at two throughout the whole country","rises to four in Paris and two in the provinces","varies from region to region: one, two, three or four","follows social rank rather than the region","Two across most of the country, Paris included, but one in the Finistère, and three or four elsewhere."
"T4-012","Fragrance","Is a powerful scent, noticeable several metres away, a mark of elegance at a dinner?","it depends on the season: fuller in winter, lighter in summer","yes, so long as it is a rare and costly composition","no: the trail it leaves must stay discreet, above all at table","yes: a recognisable trail affirms a personal signature","A fragrance should only be sensed close to; an invasive *sillage*, or trail, interferes above all with the tasting of the food and the wines."
"T4-013","Body language","To indicate a person or an object elegantly, one:","points the index finger their way","gestures with an open hand","snaps one's fingers to draw the eye","indicates with a tilt of the chin","One does not point with the finger; one indicates with an open hand."
"T4-014","Club and circle codes","At the Automobile Club de France, which accessory is compulsory for men?","a waistcoat","gloves","a tie","a hat","The Automobile Club de France requires that a tie be worn."
"T4-015","Heritage / civility","The first treatise on manners of the modern age (1530) was written by:","Nadine de Rothschild","Baldassare Castiglione","Jean-Baptiste de La Salle","Erasmus of Rotterdam","Erasmus's *De civilitate morum puerilium* (1530) is the founding text of modern Western *savoir-vivre*."
"T4-016","Galanterie / the staircase","When escorting a woman on a grand staircase, classic usage requires that the man:","climb level with her, offering his arm on the handrail side","follow her going up, and precede her going down","precede her going up, and place himself ahead of her going down","let her go up first and stay two steps behind her","The man goes first on the way up, to preserve her modesty, and ahead of her again on the way down, so as to break any fall."
"T4-017","Social distance","The courteous distance to be kept between speakers in a formal setting is roughly:","three paces","one metre","two metres","half a pace","One keeps about a metre, holding a frank but unaggressive gaze and making no abrupt gestures."
"T4-018","Dress code / White Tie","In White Tie, the trousers are worn with:","a black silk cummerbund","either a belt or braces","braces (never a belt)","a slim black leather belt","Tailcoat trousers are worn with braces, never with a belt."
"T4-019","Dress code / Black Tie Optional","The wording ""Black Tie Optional"" means that:","each guest chooses freely, from a suit to a blazer","the dinner jacket gives way to a dark suit instead","the dinner jacket is encouraged, but a dark suit is accepted","White Tie takes the place of the dinner jacket that evening","""Optional"" leaves the choice between the dinner jacket — the French *smoking* — which is preferred, and a dark suit."
"T4-020","Dress code / Creative Black Tie","""Creative Black Tie"" permits:","doing without the dinner jacket","any flourish left to each guest's taste","a single personal signature element","dark jeans with a dressy jacket","The licence extends to one personal touch and no further; everything else follows the rules of Black Tie."
"T4-021","Dress code","In a formal professional setting, jeans are:","ruled out","tolerated","required","customary","Jeans remain outside the formal professional register."
"T4-022","Men's accessories","Cufflinks are worn with:","town shirts with single cuffs","wing-collar dress shirts alone","button-down collar shirts","shirts with double cuffs","Double cuffs — what the English call French cuffs, and what ceremonial dress requires — call for cufflinks."
"T4-023","Men's accessories","In White Tie, a visible wristwatch is:","well regarded","to be avoided","expected","compulsory","A visible wristwatch is discouraged in the most formal register of all."
"T4-024","Sprezzatura","The notion of *sprezzatura*, elegance without apparent effort, is borrowed from:","Coco Chanel, and the French tradition","Castiglione, and the Italian tradition","Nadine de Rothschild, and French usage","Beau Brummell, and the English tradition","*Sprezzatura*, Castiglione's notion, describes a refinement that appears natural and unlaboured."
"T4-025","Discreet luxury","""Luxury is not the opposite of poverty but of …"":","wealth","elegance","vulgarity","simplicity","The line attributed to Coco Chanel sets luxury against vulgarity, not against poverty."
"T4-026","Body language","Picking one's teeth in company is a lapse already noted in 1530 by:","Molière","Erasmus","Voltaire","Louis XIV","Erasmus's treatise of 1530 already proscribed the gesture, and the rule holds to this day."
"T4-027","Club and circle codes","Bringing a very relaxed ""Saint-Tropez"" register of dress to Deauville is:","perfectly well judged: both resorts share the same seaside spirit","a lapse of register: Deauville calls for a hushed, navy-toned chic","immaterial: the seaside register no longer varies from coast to coast","acceptable at the height of the season, when dress grows freer","Deauville belongs to a hushed, navy-toned chic, quite distinct from the relaxed summer register of Saint-Tropez."
"T4-028","Posture","By tradition, a woman seated keeps:","her knees together, without slouching","her legs crossed high, her upper body back","her ankles crossed and her knees apart","her arms crossed and her back deep in the seat","An upright bearing with the knees together belongs to the classic code of deportment."
"T4-029","Social distance","French social distance sits:","at exactly the same point as in the Anglo-Saxon cultures, down to the gestures that accompany it","outside any discernible norm, each person setting the distance according to temperament","closer than in the Latin cultures, the gestures and the physical contact included","between the Nordic cultures, which stand further off, and the Mediterranean ones, which stand closer","It is closer than in the Nordic and Anglo-Saxon cultures, yet more distant than in the Latin ones."
"T4-030","Dress code / dinner jacket","With a dinner jacket — in French, a *smoking* — which accessory is a manifest lapse of taste?","a white wing-collar shirt","a bow tie of black silk","black patent leather shoes","a large digital sports watch","A bulky sports watch, like a pre-tied bow tie on elastic, betrays an ignorance of the Black Tie code."
"T4-031","Materials and bearing","For formal dress, one favours:","vivid shades and broad patterns, which get noticed","natural materials: wool, silk, linen, Egyptian cotton","very close cuts, tight to the body with a short jacket","shiny synthetic blends that are easy to care for","Natural materials and classic cuts prevail over shiny synthetics and loud colour."
"T4-032","Dress code / White Tie","White Tie is reserved for:","state dinners, grand galas and evenings at the opera","business luncheons and receptions held at midday","weekends in the country and official shooting parties","weddings celebrated in church in the late morning","It is the most formal dress of all, kept for the great occasions of the evening."
"T4-033","Dress code / White Tie","In White Tie, the bow tie is:","black, in satin","white, in satin","grey, in piqué","white, in piqué","White Tie requires a white piqué bow tie, black being reserved for the dinner jacket."
"T4-034","Dress code / White Tie","For a woman, the dress answering to White Tie is:","a cocktail dress, worn with gloves","a trouser suit cut for evening","a full-length gown, worn with gloves","an evening ensemble, without gloves","To White Tie for men there answers, for women, the full-length gown worn with gloves."
"T4-035","Dress code / Black Tie","With a dinner jacket, the waist is marked by:","a cummerbund or a waistcoat, never a belt through belt loops","a black leather suit belt, matched to the town shoes","nothing at all: dinner jacket trousers are worn bare at the waist","a belt through belt loops in black leather, with a discreet silver buckle","The dinner jacket — the French *smoking* — is worn with a cummerbund or a waistcoat; a belt through belt loops is ruled out."
"T4-036","Dress code / Business Formal","""Business Formal"" typically consists of:","a pair of raw denim jeans, a sports jacket and brown lace-up shoes","a dark suit, a white or sky-blue shirt, a restrained tie and black leather dress shoes","a navy blazer worn without a tie, beige chinos and a pair of loafers","a black dinner jacket, a bow tie of silk and a cummerbund at the waist","This is classic business dress, one degree below Black Tie."
"T4-037","Heritage / civility","Which contemporary book on *savoir-vivre* is by Nadine de Rothschild?","*De civilitate morum puerilium libellus*","*Les Règles de la bienséance et de la civilité chrétienne*","*Le Bonheur de séduire, l'art de réussir*","*Les Caractères ou les Mœurs de ce siècle*","In it Nadine de Rothschild carries the tradition of the manners manual into the twenty-first century."
"T4-038","Heritage / civility","After Erasmus, the French tradition of treatises on civility was carried on notably by:","François de La Rochefoucauld","Jean-Baptiste de La Salle","Madame de Sévigné","Jean de La Fontaine","Mathurin Cordier, and then Jean-Baptiste de La Salle, continued in France the tradition Erasmus had begun."
"T4-039","Heritage / civility","For Erasmus, *savoir-vivre* — knowing how to live well among others — is the reflection of:","*savoir-faire*, or practical skill","*savoir-dire*, or skill in speech","*savoir-être*, or inner character","one's rank in the social order","His treatise of 1530 established the idea that manners express the inner person: what the French call *savoir-être*."
"T4-040","Body language","In company, rearranging one's hair or studying oneself openly in a mirror is:","recommended","customary","immaterial","to be avoided","One does not rearrange one's hair, nor contemplate oneself in a mirror, in company: a rule of restraint in gesture."
"T4-041","Body language","In a formal setting, chewing gum is:","tolerated","well regarded","ruled out","common","Chewing gum has no place in any formal setting."
"T4-042","Women's accessories","For a dinner, the bag a woman favours is:","a large day bag in supple leather","a clutch, that is, a small evening bag","a bag worn across the shoulder","a town tote bag with two handles","The evening clutch — in French *une pochette*, the same word that denotes a pocket square — is what a dinner calls for, rather than a large day bag."
"T4-043","Eye contact","In France, avoiding the gaze of the person one is speaking to is read as:","a mark of modesty, well seen in dealings with an elder","a becoming shyness, which softens self-assurance","suspect, a direct gaze being the mark of sincerity","a sign of deference towards a superior","A direct gaze signals honesty; avoiding it arouses mistrust."
"T4-044","Club and circle codes","At the races at Longchamp or Chantilly, dress requires of women in particular:","the wearing of gloves","the wearing of a hat","a trouser suit","a full-length gown","At these celebrated racecourses: elegant dress, hats for the women and a suit for the men."
"T4-045","Club and circle codes","The *tenue de vénerie* (hunt livery) and the *bouton* belong to the dress code of:","hunting with hounds","competition polo","evenings at the opera","regatta yachting","*La chasse à courre*, mounted hunting with hounds, requires the traditional hunt livery, codified by each *équipage*, or hunt, whose distinctive colours are known as the *bouton*."
